feature,importance_mean,importance_std
rul_hours,0.10999558680123697,0.005099249691833499
temperature_motor,0.10100429963948514,0.003342936565259662
vibration_rms,0.07157057726660053,0.0018433802767828058
rpm,0.06349898724266546,0.003584032727832092
operating_mode,0.032134085850884196,0.0008480640840286468
pressure_level,0.021223003618337666,0.001225535901084089
